Asset Name,Industry,Service/Solution,Year Published,Audience,Asset Summary,Type,Format,Page Count,Marketing or Sales,Customer Journey,Inventory Recommendations,DAM Link,Audit Notes
HP Managed Collaboration Services Sets Stage for Seamless Collaboration,Industry agnostic,HP Managed Collaboration Services,2025,ITDM,"Case study on how HP uses HP Managed Collaboration Services, built with Poly products, to deliver consistent, equitable meeting experiences across hybrid work. Part of the HP on HP Program, it shows how the company simplifies room booking and video conferencing so employees never have to think about the technology, with collaboration positioned at the center of the workplace experience.",Case study,Product,8,Marketing,Decision,Leverage,https://h20195.www2.hp.com/v2/getpdf.aspx/4AA8-4210ENW.pdf?jumpid=va_ww_mu_mk_hc_r12192_aw_x_11006,"Credible HP-on-HP proof point for ITDMs evaluating managed collaboration. Leverage for RAD. Atomize into a case-study one-pager, an infographic on the collaboration outcomes, and a short social video on seamless meeting experiences."
Boost Collaboration. Maximize ROI.,Industry agnostic,HP Managed Collaboration Services,2025,ITDM,"Solution brief for HP Communication and Collaboration Professional Services, helping organizations define, design, and deploy collaboration environments. Positions HP’s global expertise to reduce risk, tailor solutions, conserve resources, and speed deployment, noting that only 23% of employees say their company currently provides the technology they need to work effectively.",Solution brief,Product,2,Marketing,Consideration,Leverage,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA8-3482ENW&jumpid=va_ww_mu_mk_hc_r12192_aw_x_11006,Clear ITDM brief on collaboration professional services. Leverage as-is for RAD. Atomize into a blog on getting more from collaboration investments and an infographic on the services and ROI benefits.
Ericsson Provides 5G Solutions to Hybrid Workforce,Telecommunications,HP Managed Device Services,2025,ITDM,"Case study on how Ericsson, serving 130,000 users across 140 countries, secured and modernized its global hybrid workforce with HP Managed Device Services, HP Sure Admin and Sure Start BIOS protection, and 5G-enabled notebooks managed through a cloud-native approach. Reports device deployment time reduced by 400%, near 100% worldwide adoption, and cold boot times cut by an estimated 75%.",Case study,Product,4,Marketing,Decision,Leverage,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA8-2650ENW,"Strong enterprise ITDM proof point for modern device management and endpoint security at global scale. Leverage for RAD. Atomize into a case-study one-pager, a metrics infographic, and a short social video on the deployment and boot-time gains."
Dr. Oetker Blends HP Services to Develop a Recipe for Success,Food & Beverage,HP Managed Device Services,2026,ITDM,"Case study on how multinational food producer Dr. Oetker, with nearly 17,000 employees across 40-plus countries, simplified IT operations using HP Device Provisioning Services, HP Proactive Insights, and Workforce Experience Platform telemetry. Standardizing a previously disparate device estate cut costs, reduced outages, improved uptime and repair processes, and lifted employee satisfaction worldwide.",Case study,Product,5,Marketing,Decision,Leverage,https://h20195.www2.hp.com/v2/GetPDF.aspx/4AA8-5279ENW.pdf,"Solid global enterprise proof point combining HP device services and WXP telemetry. Leverage for RAD. Atomize into a case-study one-pager and an infographic on the cost, uptime, and satisfaction outcomes."
Grove City College blends innovation and efficiency,Education,HP Managed Device Services,2023,ITDM,"Case study on how Grove City College standardized on HP Dragonfly PCs with a four-year HP Care Pack and Accidental Damage Protection to bring learning equity to 2,200 students. Deploying more than 800 new Dragonfly devices a year and managing print through partner NWN Carousel, the college simplified support, gained total cost of ownership benefits, and reduced IT burden as an HP qualified self-maintainer.",Case study,Product,5,Marketing,Decision,Upcycle,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA8-2678ENA,"Useful education-sector proof point for device standardization and lifecycle support. Since this case study dates to 2023, upcycle by refreshing the metrics, product references, and any dated details before reuse for RAD. Atomize into an education case-study one-pager and an infographic on the TCO and support outcomes."
AI PC productivity meets workstation power,Industry agnostic,HP Z,2025,ITDM,"Square social graphic (1200x1200) for the HP ZBook AI workstation line, co-branded with the Intel Core Ultra badge and the campaign line Conquer Your Workload with Intel Core Ultra Processors. A power-user lifestyle image anchors the headline AI PC productivity meets workstation power, positioning the ZBook as the point where AI PC capability and desktop-class workstation performance meet for engineers, designers, and data scientists working away from their desks.",Social,Product,N/A,Marketing,Awareness,Leverage,,"Strong awareness-stage social unit for the AI workstation laptop push, visually and verbally aligned to the ZBook one-pager and brochure. Leverage as-is for RAD across paid and organic social (LinkedIn, Facebook). Run it as the top-of-funnel hook into the Maximize productivity one-pager, and test the productivity angle against the complex-workflows cut to see which drives more qualified traffic."
What one computer supercharges complex workflows?,Industry agnostic,HP Z,2025,ITDM,"Square social graphic (1200x1200) for the HP AI workstation line, co-branded with the Intel Core Ultra badge and the line Conquer Your Workload with Intel Core Ultra Processors. A focused-professional image carries the headline What one computer supercharges complex workflows, posing the laptop versus cloud versus workstation question to power users and steering them toward the AI workstation as the answer.",Social,Product,N/A,Marketing,Awareness,Leverage,,"Useful awareness-stage social unit built on the What is an AI workstation theme, framed as a question to spark engagement. Leverage as-is for RAD across paid and organic social (LinkedIn, Facebook). Point the click-through at the What is an AI workstation explainer, and run it as a paired set with the AI PC productivity meets workstation power cut."
AI-enhanced. Efficient. Ready for what's next.,Industry agnostic,HP Future of Work,2025,BDM,"Square digital ad (1080x1080, October 2025) from the HP and Intel BPS Alliance digital transformation campaign, co-branded with Intel Core Ultra and Intel vPro and the line That’s the power of Intel inside. A knowledge-worker image at a multi-monitor setup carries the headline AI-enhanced. Efficient. Ready for what’s next., positioning Intel vPro AI PCs as the foundation for efficient, future-ready work across the broader workforce.",Social,Product,N/A,Marketing,Awareness,Leverage,,"Broad digital transformation ad aimed at business decision makers, distinct in tone and audience from the power-user workstation cuts. Leverage as-is for RAD in paid social and display. Land the click-through on AI PC adoption or Future of Work content to match its wider audience, and run it as the BDM-facing awareness layer alongside the ITDM workstation social."
Performance for AI workflows,Industry agnostic,HP Z,2025,ITDM,"Video script (October 2025) for an HP Z Workstations and Solutions promo, co-branded under the line Conquer your workload with Intel Core Ultra Processors. The script moves through tackling intensive workflows, rendering in real time, visualizing data, experiencing built-in AI, and harnessing pro-level performance, building a capability-led case for HP Z and Intel Core Ultra among power users with demanding AI workloads.",Video,Product,N/A,Marketing,Consideration,Leverage,,"Capability-led HP Z product video for ITDM consideration, the video companion to the AI workstation one-pagers and social. Leverage for RAD once produced, as the anchor of the AI workstation campaign. Atomize into short vertical social cutdowns per capability claim, a captioned silent-autoplay version for feeds, and a one-pager of the performance points."
Manufacturing and technology giant revolutionizes its print infrastructure with HP,Manufacturing,HP Managed Print Services,2023,ITDM,"Case study on how a global manufacturing and technology giant replaced Xerox with HP to modernize its print infrastructure. Frustrated by Xerox's lagging momentum, the company moved to HP Managed Print Services and a print security assessment, deploying HP Security Manager, HP Advance, and JetAdvantage Workpath. HP stood up a proof-of-concept pilot in four months, the customer skipped a formal RFP, and the model now guides regional rollouts, with sustainability and carbon-neutral printing central to the partnership.",Case study,Product,N/A,Marketing,Consideration,Leverage,,"Useful competitive-displacement proof point showing a manufacturer switching from Xerox to HP, strong for ITDM and procurement conversations on managed print and print security. The customer is unnamed and the story carries no hard metrics, and it dates to 2023, so upcycle by refreshing the details and adding quantified outcomes if available before reuse for RAD. Atomize into a competitive-switch blog, a one-pager on the four-month pilot, and a security-and-sustainability infographic."
